,key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time,time
1,cpu_number,1,9.8,1.1,2.8,90.2,0.0,1.0,0.0,4.8,0.0,0.0,0.0,1:1667130205.0638394,1667130205
2,cpu_number,2,12.3,3.1,5.6,87.7,0.0,1.9,0.0,1.7,0.0,0.0,0.0,1:1667130205.0638394,1667130205
3,cpu_number,3,5.8,1.1,2.2,94.2,0.0,1.5,0.0,0.9,0.0,0.0,0.0,1:1667130205.0638394,1667130205
4,cpu_number,4,22.9,12.6,8.1,77.1,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1:1667130205.0638394,1667130205
5,cpu_number,5,17.6,12.8,2.2,82.4,0.0,2.4,0.0,0.2,0.0,0.0,0.0,1:1667130205.0638394,1667130205
6,cpu_number,6,23.5,15.0,8.1,76.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1:1667130205.0638394,1667130205
7,cpu_number,7,6.5,2.5,3.0,93.5,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1:1667130205.0638394,1667130205
8,cpu_number,0,27.6,10.8,7.0,72.4,0.0,3.3,0.0,6.5,0.0,0.0,0.0,2:1667130225.4205923,1667130225
9,cpu_number,1,14.3,1.5,2.7,85.7,0.0,2.9,0.0,7.2,0.0,0.0,0.0,2:1667130225.4205923,1667130225
10,cpu_number,2,14.2,4.7,6.0,85.8,0.0,2.9,0.0,0.5,0.0,0.0,0.0,2:1667130225.4205923,1667130225
11,cpu_number,3,4.5,0.9,2.0,95.5,0.0,0.6,0.0,1.0,0.0,0.0,0.0,2:1667130225.4205923,1667130225
12,cpu_number,4,24.6,11.7,11.2,75.4,0.0,1.5,0.0,0.2,0.0,0.0,0.0,2:1667130225.4205923,1667130225
13,cpu_number,5,6.1,3.8,2.1,93.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2:1667130225.4205923,1667130225
14,cpu_number,6,20.5,9.9,8.2,79.5,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2:1667130225.4205923,1667130225
15,cpu_number,7,10.7,4.3,5.7,89.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2:1667130225.4205923,1667130225
16,cpu_number,0,21.1,2.5,4.8,78.9,0.0,0.8,0.0,12.9,0.0,0.0,0.0,3:1667130245.7265484,1667130245
17,cpu_number,1,14.9,0.8,4.9,85.1,0.0,3.0,0.0,6.2,0.0,0.0,0.0,3:1667130245.7265484,1667130245
18,cpu_number,2,11.5,4.3,4.9,88.5,0.0,1.7,0.0,0.5,0.0,0.0,0.0,3:1667130245.7265484,1667130245
19,cpu_number,3,6.3,2.9,2.5,93.7,0.0,0.5,0.0,0.4,0.0,0.0,0.0,3:1667130245.7265484,1667130245
20,cpu_number,4,28.8,15.6,12.3,71.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3:1667130245.7265484,1667130245
21,cpu_number,5,12.4,4.7,7.7,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130245.7265484,1667130245
22,cpu_number,6,19.8,12.9,5.7,80.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,3:1667130245.7265484,1667130245
23,cpu_number,7,12.6,7.7,4.6,87.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3:1667130245.7265484,1667130245
0,cpu_number,0,34.4,24.6,5.0,65.6,0.0,0.9,0.0,4.0,0.0,0.0,0.0,1:1667130266.0445764,1667130266
1,cpu_number,1,24.5,16.7,3.2,75.5,0.0,0.1,0.0,4.5,0.0,0.0,0.0,1:1667130266.0445764,1667130266
2,cpu_number,2,10.0,2.2,5.7,90.0,0.0,0.9,0.0,1.2,0.0,0.0,0.0,1:1667130266.0445764,1667130266
